Target_ID,Chat_Name,Total_Turns,Avg_Prompt_Length,Filler_Word_Count,Explicit_Constraints,First_Prompt_Preview
1,n8n Google Sheets to Email Workflow,1,15,0,0,how do i do this on n8n: Create a **simple workflow** (Google Sheets → Emai...
2,Coin Flip Streak Probability Simulation,2,271,0,2,"question: For this exercise, we’ll try doing an experiment. If you flip a c..."
3,AI Prompt Optimization Framework,16,60,11,8,"PROMPT: You are Lyra, a master-level AI prompt optimization specialist. You..."
4,Learning GNU Radio software benefits,3,174,0,4,what can i get out of learning this gnuradio software?
5,Building plot accuracy,4,19,1,0,start building plotsnr accuracy
6,Adding .local/bin to PATH,1,24,0,0,"what to do : To add $HOME/.local/bin to your PATH, either restart your shel..."
8,Wireless communications fundamentals overview,6,16,1,2,"need to understand beamforming, baseband and bandpass, path loss mimo anten..."
9,Structuring an internship presentation narrative,11,79,2,1,so help me frame my final presentation at my internship. i want to be able ...
10,Maintaining iPhone 16 Pro battery health at 90%,4,11,0,0,"my iphone 16 pro, which i bought in october 2024, has a max battery capcity..."
11,Finding meaningful problems beyond tech products,2,47,0,0,"how to find a good enough idea to implement, everyone is on about buildig s..."
12,Fixing wifi driver issues on Linux Mint,6,20,0,0,how to fix wifi driver issue on linux mint?
13,Building on classifier model evaluation,39,33,1,2,"lets start from where we left off, i have finished extract features and cre..."
14,Agentic AI for systems engineering automation,13,55,3,3,compare this thesis topic for my projektarbeit not master thesis and give m...
15,Converting old Asus Vivobook to Linux for better performance,71,20,6,3,"i have a reallz old 6 or 7 year old asus vivobook with 20gb ram, and 512gb ..."
16,Choosing between Raspberry Pi and microcontrollers,14,19,0,4,help me makea choice between raspberry ppi 4/5 adn stm32 or other microcont...
17,Linux home server,86,32,7,15,how to  stop or uninstall varieny on linux
18,AI detection of electrical test points in control cabinets,10,128,4,3,[BA/PA/MA] AI-supported detection of electrical test points in control cabi...
19,Coding the extract features function,26,30,0,0,"lets start idk which day , but coding the extract features function"
20,Internship work with non-conformance and parametric data,5,45,0,3,"using the humaizer skill, i need write a paragraph about my internship, sta..."
21,Day 3 beginning,22,18,0,1,lets start day 3
22,Birthday gift ideas for best friend,4,25,0,0,what gifts can i give my best friend for his  birthday
23,Brave browser causing laptop fan to run continuously,1,26,1,0,"i just have one tab of brave browser open on my laptop,still it has its fan..."
24,Project prototype development,10,21,0,0,I am planning on building a protoype of this project:
25,Starting day one,28,21,1,2,lets start day 1
26,Setting up separate projects with custom instructions,3,184,0,4,how to create projects and have them seperate with unique instrcutions or h...
27,Resume optimization for AI and connectivity internships,32,45,6,8,"Acts as a senior recruiter, compare my resume to current werkstudent or int..."
28,Scraping Kaufland's weekly discount leaflet,1,12,0,0,"can you scrape the kaufland""s website for this weeks leaflet of discounts"
29,Capital of Namibia,1,6,0,0,what is the capital of namibia
30,Fat's effect on muscle fatigue,2,11,0,0,if there is fat on a muscle would that fatigue the muscle
31,Zsh list syntax error,12,16,2,0,MY_FIRST_LIST= ( ONE TWO THREE FOUR ) zsh: parse error near `('
32,Sensor data analysis internship interview prep,111,40,20,30,Job Description: ## Company: Arriver Software GmbH ## Job Area: Interns Gro...
33,Telegram to Obsidian note automation,1,41,0,0,"how can i create an automation, that from my telegram if i send a message t..."
34,AI-powered trip video reel generator,2,90,0,1,"give me a prompt to build this app idea, include all necessary details ""I w..."
35,Learning roadmap with Obsidian setup,6,41,1,2,THE ROADMAP NOW → MARCH 31 (while still in internship) 1 hour daily. Use th...
36,Landing a luxury automotive internship with German and coding,6,118,4,8,got to figure some stuff out : * i want o get a working student position or...
37,Machine learning fundamentals and numpy for data processing,13,21,1,3,i need a crash course on thefundmentals reuqired start machiine learning li...
38,Porsche dream and career contribution,1,21,0,0,"what dream do you associate with porsche ,in which area can you contribute ..."
39,"Understanding Z transforms, DTFT, and Fourier transforms",3,29,0,0,"expplain z transforms and dtft and fourier transforms,. * first step exampl..."
40,Ridge regression cost function and derivation,2,13,0,0,what is the cost function of ridge regression and how is it derived?
41,Ridge cost expressed with Euler's number,1,17,0,0,"if the ridge cost was decribed in terms of eulers number , how would it loo..."
42,Oscilloscope UI redesign with glass morphism,2,31,1,0,The first photo is of an oscilloscope currently in my website the second on...
43,Breast tumor detection: recall vs precision trade-off,1,30,0,0,Consider a Machine Learning Model for the automatic detection of breast tum...
44,Advanced C++ programming projects,3,10,0,0,hwat is a good advanced level program to solve in c++
45,Building an end-to-end ML product project,4,46,1,2,The thing is i am mainly learning digital signal processing and machine lea...
46,Optimizing performance with 235M rows in Polars,2,25,0,0,how to overcome performance bottlenecks when working with large rows of dat...
47,OPC UA communication framework for distributed production multi-agent systems,14,52,1,4,Initial situation The distributed production (DPC) factory is considered a ...
48,CUDA requirements for PyTorch learning,3,11,0,0,would i need a cuda supported laptop to work with pytorch? or to learn and ...
49,Standardized carrier system optimization,10,80,0,1,Possible topics: * Carrier change – Conceptualization of a transport system...
50,Nebenkosten-Retter AI app concept and development costs,4,147,1,3,what do yout hink of this an a mobile app idea for the german playstore:The...
51,Selling products on Gumroad,6,19,0,1,whata re the things i can sell on gumroad
52,Convolution theorem and time-frequency domain duality,1,98,0,0,"he reason we keep bringing up convolution is because of how the math ""flips..."
53,Finding boring SaaS ideas in Germany,9,35,1,1,how do i find the most boring saas ideas in germany to implement and where ...
54,Building a 3D oscillator widget for websites,7,53,1,1,"i want to add a 3d oscillator to my website a small one, which has differen..."
55,Portfolio website and Google AI tools,1,27,0,1,"GIve me draft to post on linkedin about my new portfolio website, how i am ..."
56,Testing a static portfolio website before deployment,1,16,0,0,what are the usual test test to be done for a statuc protfolio website befo...
57,Testing a portfolio website,1,12,0,0,what are the test usuallz done to test a normal portfolio website
58,Database schema design,1,122,4,2,Hi Claude! Could you design database schemas? If you need more information ...
59,Multi-peg-in-hole gripper for automotive cable assembly,3,247,3,3,Validation of a multi-peg-in-hole gripper for the automotive electrical sys...
60,this code doesntnot respond wh...,1,24,0,0,"this code doesntnot respond when in desktop mode, the sidebar overlpas with..."
61,generate a prompt for antigrav...,2,35,0,1,generate a prompt for antigravity using the claude sonnet model to make it ...
62,I need to understand whats the...,7,51,3,4,"I need to understand whats the urge or triggers for me to keep smoking , do..."
63,acts as a senior data scientis...,12,35,0,3,acts as a senior data scientist and teach me the simple things to look for ...
64,,3,99,3,1,"Please break down the ""1-2 road map"" into simple, easy-to-understand steps...."
65,The Fourier Transform is the m...,2,7,0,0,The Fourier Transform is the mathematical bridge between these two views
66,Time domain vs frequency domain signals,3,27,0,0,"A signal can be viewed as amplitude vs time OR as amplitude vs frequency, b..."
67,I intend to begin a project th...,5,39,2,3,I intend to begin a project that involves the analysis of RF measurement da...
68,Explain necessary concepts fro...,8,54,1,2,Explain necessary concepts from these two papers required to attempt this :...
69,Assessing knowledge gaps in communications and signal theory,4,44,0,2,"test my knowledge wrt regrads to the fundamentals of signals and systems, d..."
70,Addressing lack of formal background in job application,2,47,0,1,"""I am currently doing my internship in a related filed and i feel like the ..."
71,Resume optimization and improvement,2,12,0,0,"this is my resume, i feel like it isnt optimized well and i want to improve..."
72,Personal Tech Learning Roadmap,3,125,1,1,You are my **Personal Tech Learning & Project Planner**. I want you to help...
73,Premium Finance Tracker App Design,6,44,0,1,Create a single-page finance tracker app with the following requirements: C...
74,AI-Powered Minimal Finance Tracker,1,89,2,2,Context:  I want to build an app using ai for tracking my finances. i want ...
75,German Fluency in 4 Months,4,86,0,0,You are my **Daily German Instructor**. My goal is to become **fluent in sp...
76,Apple's Google AI Dependency,1,22,0,0,theres this new about about apple relzing heavilz on google for their ai pr...
77,Git File Addition Error,3,21,1,0,PS C:\Users\lnloh\Downloads\task-tracker> git add index.html fatal: pathspe...
78,Personalized Learning Roadmap Strategy,3,190,0,1,"You are my **Learning and Prioritization Mentor**. I have a list of skills,..."
79,Learning Algorithmic Thinking with CS50,8,9,0,0,if i want to think algorithmically is it good to learn this course cs50 int...
80,n8n vs Make.com Workflow Platform,7,12,0,1,do i need to start with make.com or could i directlz start with n8n
81,Zapier Data Processing Workflows,2,11,0,0,"In the section - master the tools, my focus is on master Zapier + data proc..."
82,Gumroad Digital Product Launch Strategy,1,126,0,1,You are my **Digital Product Ideation and Launch Consultant**. I want to cr...
83,Make.com Automation for Beginners,2,14,0,0,tell me verything about make.com and how i can use it as a complete beginne...
84,App Development Possibilities,2,28,0,0,can zou build apps
